like1,pars_r,parr_p3,parr_p7,parr_px,parc_m1,parc_w1,chain
0.576,0.02289,0.01868,0.04916,0.02206,0.66,2.346,4.0
0.703,0.04697,0.04364,0.005817,0.04504,0.1233,8.29,5.0
1.333,0.007065,0.0211,0.02231,0.00622,0.692,3.182,6.0
1.078,0.02263,0.01953,0.01662,0.01776,0.5977,5.125,7.0
0.631,0.02768,0.03114,0.01389,0.04218,0.3726,6.008,8.0
0.7134,0.04688,0.0486,0.04187,0.02588,0.755,4.344,9.0
0.8994,0.03424,0.0474,0.01935,0.02737,0.921,5.43,10.0
1.184,0.03105,0.0351,0.0176,0.01973,0.7617,5.145,11.0
1.645,0.02072,0.03983,0.02254,0.00933,0.634,5.47,12.0
0.688,0.00663,0.02335,0.01326,0.04474,0.72,9.336,0.0
0.773,0.02527,0.0331,0.03247,0.02817,0.347,6.55,1.0
0.66,0.02057,0.03622,0.0298,0.03348,0.7534,5.176,2.0
0.7666,0.0158,0.02942,0.01834,0.03342,0.653,7.793,3.0
0.741,0.01698,0.03076,0.02383,0.0304,0.5537,5.82,4.0
1.418,0.04648,0.01875,0.01543,0.00597,0.786,7.152,5.0
1.134,0.03824,0.01956,0.010025,0.01578,0.04868,3.408,6.0
1.674,0.00836,0.044,0.03583,0.00806,0.7627,8.164,7.0
0.733,0.005917,0.02162,0.04456,0.03137,0.995,9.91,8.0
1.79,0.03943,0.03232,0.00544,0.010086,0.637,8.92,9.0
1.092,0.02354,0.031,0.02089,0.02098,0.572,5.78,10.0
0.8765,0.00839,0.03033,0.0231,0.02179,0.919,2.943,11.0
1.018,0.02129,0.005608,0.02745,0.008995,0.7734,1.258,12.0
0.3074,0.0318,0.01744,0.01942,0.02495,0.5337,0.8955,0.0
0.596,0.03012,0.02422,0.02502,0.04135,0.05157,6.926,1.0
0.5015,0.0355,0.04935,0.014,0.03038,0.7197,2.062,2.0
0.7915,0.03735,0.02896,0.02509,0.02888,0.6777,8.195,3.0
0.661,0.04227,0.0433,0.04108,0.02701,0.1707,3.96,4.0
0.7134,0.015175,0.02432,0.00875,0.03766,0.863,7.598,5.0
0.5986,0.0406,0.03824,0.02669,0.04282,0.1407,6.492,6.0
1.529,0.03632,0.0454,0.01892,0.01628,0.9116,9.836,7.0
1.69,0.01248,0.04013,0.03117,0.008514,0.7676,8.04,8.0
1.104,0.03056,0.0319,0.02304,0.02158,0.5894,7.68,9.0
0.801,0.0488,0.03165,0.00509,0.0331,0.7505,9.09,10.0
1.042,0.03134,0.04224,0.01872,0.0225,0.601,4.63,11.0
1.239,0.0326,0.03915,0.015526,0.02225,0.6978,8.39,12.0
0.7334,0.01686,0.02275,0.0246,0.03096,0.6943,7.87,0.0
0.668,0.04953,0.01852,0.01599,0.02985,0.712,7.11,1.0
1.351,0.01836,0.02213,0.03973,0.007786,0.4102,4.49,2.0
1.632,0.012955,0.02432,0.02797,0.007683,0.3628,8.875,3.0
0.8706,0.02191,0.03604,0.0202,0.02863,0.2072,6.926,4.0
1.525,0.04935,0.0224,0.03,0.00827,0.425,9.64,5.0
1.157,0.02092,0.03168,0.02722,0.0198,0.3145,7.35,6.0
0.8853,0.02885,0.04816,0.02663,0.01459,0.529,1.581,7.0
1.446,0.02705,0.03943,0.02882,0.01258,0.4622,5.07,8.0
1.52,0.03418,0.02835,0.02548,0.008835,0.28,4.81,9.0
1.386,0.02255,0.03314,0.02783,0.01564,0.3472,7.6,10.0
1.697,0.04886,0.0485,0.02757,0.0092,0.252,9.766,11.0
1.474,0.02164,0.03998,0.0324,0.014626,0.3284,9.11,12.0
0.535,0.01353,0.009895,0.0488,0.02148,0.3835,1.238,0.0
0.713,0.03317,0.03638,0.02686,0.03708,0.664,9.23,1.0
0.6973,0.0332,0.02376,0.02637,0.02849,0.7495,5.7,2.0
0.5444,0.02336,0.02881,0.0191,0.0381,0.486,3.814,4.0
0.505,0.04028,0.0325,0.04303,0.04974,0.3516,7.01,5.0
1.699,0.00584,0.04242,0.03436,0.00927,0.8535,8.234,6.0
1.428,0.03476,0.03912,0.049,0.01264,0.03137,9.97,7.0
0.2487,0.009,0.02588,0.005924,0.0328,0.258,1.097,8.0
0.7705,0.03592,0.02193,0.01439,0.02654,0.1869,5.848,9.0
1.609,0.02808,0.0303,0.007217,0.01318,0.476,4.918,10.0
1.234,0.02184,0.02565,0.04385,0.00642,0.3667,3.68,11.0
0.832,0.0151,0.009445,0.01197,0.02069,0.056,8.89,12.0
0.4668,0.04446,0.01968,0.015434,0.03992,0.064,3.14,0.0
0.6626,0.03644,0.02109,0.01278,0.03494,0.515,6.906,1.0
0.6553,0.0378,0.03876,0.0287,0.03668,0.566,6.418,2.0
0.752,0.006363,0.0404,0.0231,0.01901,0.7593,1.516,3.0
0.6743,0.04947,0.005016,0.0355,0.02596,0.8765,3.457,4.0
